"sub","session","n","modality","prt","dprime","accuracy","sex","group"
"sub-23",2,2,"audio",0.96684,4.6672300478363,90.25,"Male","Experimental"
"sub-23",3,1,"audio",0.898313333333333,4.6672300478363,90.25,"Male","Experimental"
"sub-23",3,2,"audio",1.02369,3.78763389735501,89.2333333333333,"Male","Experimental"
"sub-23",4,1,"audio",0.801743333333333,4.37309944946723,90.2416666666667,"Male","Experimental"
"sub-23",4,2,"audio",0.756506666666667,4.37309944946723,90.2416666666667,"Male","Experimental"
"sub-24",1,1,"audio",0.95611,3.66782927163183,87.2416666666667,"Female","Experimental"
"sub-24",1,2,"audio",1.14160666666667,2.5631031310892,81.225,"Female","Experimental"
"sub-24",2,1,"audio",0.988416666666667,4.04027075969534,90.2333333333333,"Female","Experimental"
"sub-24",2,2,"audio",0.863403333333333,3.78763389735501,89.2333333333333,"Female","Experimental"
"sub-24",3,1,"audio",0.805916666666667,4.1204625871269,89.2416666666667,"Female","Experimental"
"sub-24",3,2,"audio",0.78484,4.1204625871269,89.2416666666667,"Female","Experimental"
"sub-24",4,1,"audio",0.971143333333333,3.82933340103724,86.25,"Female","Experimental"
"sub-24",4,2,"audio",0.999033333333333,3.82073637919591,90.225,"Female","Experimental"
"sub-25",1,1,"audio",1.38379666666667,3.56809951685558,89.225,"Male","Control"
"sub-25",1,2,"audio",1.66808333333333,2.21614454123314,85.1833333333333,"Male","Control"
"sub-25",2,1,"audio",1.38152666666667,2.18806191494905,80.2083333333333,"Male","Control"
"sub-25",2,2,"audio",1.71344666666667,2.79253191678711,90.15,"Male","Control"
"sub-25",3,1,"audio",1.14433333333333,4.1204625871269,89.2416666666667,"Male","Control"
"sub-25",3,2,"audio",1.40883,2.73778806307703,88.1916666666667,"Male","Control"
"sub-25",4,1,"audio",1.4824,3.82073637919591,90.225,"Male","Control"
"sub-25",4,2,"audio",1.59384333333333,3.06358532635935,90.175,"Male","Control"
"sub-26",1,1,"audio",1.0548,2.54290940042517,86.2,"Female","Control"
"sub-26",1,2,"audio",0.979313333333333,3.51096071823941,88.2333333333333,"Female","Control"
"sub-26",2,1,"audio",0.956436666666667,2.81205978348905,86.2166666666667,"Female","Control"
"sub-26",2,2,"audio",1.21193666666667,2.81094846401902,89.175,"Female","Control"
"sub-26",3,1,"audio",1.17991,2.54290940042517,86.2,"Female","Control"
