sub,session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
LB021,16,1,2,3,3,3,3,3,3,3,2,3,2,3,3,2,2,3,2,2,3
LB021,17,1,2,3,3,2,3,3,2,3,3,2,3,2,3,2,2,3,3,4,3
LB021,18,1,1,2,3,3,4,3,4,3,3,4,3,3,4,3,3,2,3,3,3
LB023,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2
LB023,2,1,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2
LB023,3,1,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2
LB023,4,1,2,3,2,3,3,3,2,1,2,2,2,3,3,2,3,2,3,2,3
LB023,5,1,2,3,3,2,3,2,3,2,3,2,2,2,2,3,2,3,3,2,2
LB023,6,1,2,3,2,3,2,2,3,2,3,2,3,2,2,3,2,3,3,4,3
LB023,7,1,2,3,2,2,3,3,2,3,2,3,2,3,3,2,3,3,3,2,3
LB023,8,1,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3
LB023,9,1,2,3,3,3,3,3,2,3,3,2,3,3,2,3,3,2,2,3,2
LB023,10,1,2,3,4,3,3,2,3,3,3,2,3,2,2,1,2,3,3,3,2
LB023,11,1,2,3,3,3,3,3,3,2,3,3,2,3,3,2,3,2,2,3,2
LB023,12,1,2,3,2,3,4,3,3,3,3,3,3,2,2,3,2,3,2,3,3
LB023,13,1,2,3,4,4,3,3,3,4,4,4,3,3,4,3,3,3,2,3,3
LB023,14,1,2,3,3,3,3,3,3,2,3,4,4,4,4,5,5,5,5,5,5
LB023,15,1,2,3,4,4,4,4,4,4,3,3,3,3,3,3,3,4,5,4,4
LB023,16,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3
LB023,17,1,2,3,3,3,4,5,4,4,3,3,4,5,5,5,5,4,3,3,3
LB023,18,1,2,3,3,4,4,4,5,5,4,5,4,4,4,5,5,5,4,4,4
LB024,1,1,2,2,3,2,3,3,2,2,2,2,2,2,3,3,3,2,3,2,2
LB024,2,1,2,3,3,3,2,2,2,2,3,3,3,3,2,3,2,3,3,2,3
LB024,3,1,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,4,3,4
LB024,4,1,2,3,3,4,4,3,3,4,3,4,3,2,3,3,3,4,3,4,3
LB024,5,1,2,3,4,4,5,4,4,3,3,4,4,3,2,3,4,4,4,3,3
LB024,6,1,2,2,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,5
LB024,7,1,2,3,4,3,2,2,2,3,3,4,4,4,3,4,4,4,4,4,4
LB024,8,1,2,3,4,4,5,4,3,3,3,4,4,4,4,3,4,4,4,3,4
LB024,9,1,2,3,4,4,4,5,4,5,4,3,4,4,4,4,4,3,4,4,4
LB024,10,1,2,3,4,3,3,4,3,4,4,5,4,5,5,5,5,4,5,5,4
LB024,11,1,2,2,3,4,3,4,4,3,4,5,5,5,4,4,5,5,4,4,4
LB024,12,1,2,3,4,4,4,4,4,4,4,5,4,4,4,5,5,5,4,5,5
LB024,13,1,2,3,4,4,4,4,4,5,6,5,4,5,4,5,5,5,6,6,6
LB024,14,1,2,3,4,5,5,5,4,5,5,5,4,5,4,4,5,4,5,5,5
LB024,15,1,2,3,4,5,5,5,4,4,5,5,6,6,5,6,5,4,5,5,5
LB024,16,1,2,3,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
LB024,17,1,2,3,4,4,5,5,5,4,4,5,5,4,5,5,6,6,4,4,4
LB024,18,1,2,3,4,4,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5
LB027,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2
LB027,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,3
LB027,3,1,2,2,2,2,2,2,2,3,2,2,2,1,2,2,3,2,1,2,1
LB027,4,1,2,1,2,2,3,2,1,2,2,2,2,3,2,1,2,2,2,1,2
LB027,5,1,2,2,3,2,1,2,3,2,2,2,2,1,2,2,2,2,2,3,2
LB027,6,1,2,3,3,2,3,2,3,2,2,3,2,2,3,2,3,3,3,2,3
LB027,7,1,2,2,3,2,3,2,1,2,3,2,2,2,2,3,2,1,1,1,1
LB027,8,1,2,2,3,2,2,2,3,2,2,3,2,3,2,2,2,3,2,1,2
LB027,9,1,2,3,2,2,3,2,2,1,2,3,2,2,2,2,1,2,2,2,3
LB027,10,1,2,3,2,2,3,3,3,2,3,2,1,2,3,2,2,2,2,2,3
LB027,11,1,2,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,3,2
LB027,12,1,2,3,3,2,2,2,2,2,2,3,2,2,2,3,2,2,3,2,3
LB027,13,1,2,2,3,2,2,3,2,2,2,3,3,2,1,2,2,3,2,2,2
LB027,14,1,2,3,2,3,2,3,2,3,2,2,2,3,2,2,2,3,2,3,2
LB027,15,1,2,3,3,2,3,2,3,3,2,2,2,3,3,2,2,2,3,3,2
LB027,16,1,2,3,4,3,3,3,2,3,3,3,2,2,2,2,3,2,3,2,2
LB027,17,1,2,3,2,3,2,3,2,3,2,2,2,3,2,3,4,3,3,4,3
LB027,18,1,2,3,3,2,3,2,3,3,3,2,3,3,3,2,3,2,3,3,4
LB029,1,1,2,1,2,3,2,3,3,3,3,3,2,2,2,3,3,2,1,1,2
LB029,2,1,2,3,3,2,1,2,3,2,3,2,2,2,3,3,2,3,2,3,3
LB029,3,1,2,3,2,2,2,3,3,3,3,3,3,3,3,4,4,3,2,3,2
LB029,4,1,2,2,2,3,3,2,2,3,3,3,2,2,3,3,3,3,2,1,2
LB029,5,1,2,3,4,4,3,3,2,3,3,2,2,2,3,3,3,3,2,1,2
LB029,6,1,2,3,3,4,4,4,3,3,3,2,3,3,2,3,3,3,2,2,3
LB029,7,1,2,3,2,3,3,3,2,3,2,1,2,3,3,3,3,3,2,3,3
LB029,8,1,2,3,4,4,4,4,3,2,3,3,4,4,3,3,2,3,3,4,3
LB029,9,1,2,3,3,3,2,3,2,3,3,3,4,4,4,5,4,4,4,4,4
LB029,10,1,2,3,3,3,4,4,4,4,3,4,4,3,4,4,3,4,4,3,3
LB029,11,1,2,3,3,4,4,3,4,5,6,6,5,4,4,4,3,4,3,3,3
LB029,12,1,2,3,3,4,3,3,4,3,3,3,4,4,4,5,4,5,5,5,4
LB029,13,1,2,3,4,3,4,3,2,3,4,3,3,3,4,4,3,3,4,3,3
